(67, 4, -1)
(65, 4, -1)
(64, 4, -1)
(62, 8, -1)
(65, 4, -1)
(67, 4, -1)
(69, 4, -1)
(67, 4, -1)
(66, 4, -1)
(67, 8, -1)
(67, 2, -1)
(67, 2, -1)
(65, 4, -1)
(67, 4, -1)
(69, 4, -1)
(73.0, 6.0, 3.0)
(67, 4, -1)
(67, 4, -1)
(73, 4, 2)
(73, 4, 2)
(60.0, 4.0, -1.0)
(60.0, 4.0, -1.0)
(67, 4, -1)
(72, 4, -2)
(72, 4, -2)
(69, 4, -1)
(72, 4, -2)
(74, 2, -2)
(75.0, 2.0, -2.0)
(75, 4, -2)
(75, 4, -2)
(75, 4, -2)
(75.0, 2.0, -2.0)
(75, 4, -2)
(74, 4, -2)
(73, 2, 2)
(76, 4, -2)
(68, 4, -3)
(68, 4, -3)
(65, 4, -1)
(70, 4, -3)
(69, 8, 3)
(68, 4, -3)
(68, 4, -3)
(67, 4, 0)
(61, 4, 2)
(63, 4, -3)
(71, 4, 2)
(71, 4, 2)
(71, 4, 0)
