(71, 4, 4)
(71, 4, 4)
(71, 4, 4)
(71, 4, 4)
(74, 4, 4)
(73, 4, 4)
(71, 4, 4)
(69, 4, 4)
(71, 4, 4)
(68, 4, 4)
(66, 2, 4)
(66, 2, 4)
(66, 2, 4)
(71, 4, 4)
(71, 4, 4)
(71, 4, 4)
(67, 4, 0)
(71, 4, 4)
(71, 4, 4)
(71, 4, 4)
(73, 4, 4)
(73, 4, 4)
(71, 4, 4)
(67.0, 8.0, 0.0)
(66, 2, 4)
(71, 2, 2)
(67.0, 8.0, 0.0)
(67.0, 8.0, 0.0)
(66, 2, 4)
(72, 4, -3)
(71, 4, 0)
(75, 4, -2)
(77.0, 2.0, -3.0)
(70, 4, -3)
(67.0, 4.0, 2.0)
(67, 4, -3)
(67, 4, 0)
(68, 4, 0)
(68, 4, 3)
(67.0, 2.0, 0.0)
(69, 4, 0)
(67.0, 2.0, 0.0)
(70, 4, -3)
(75, 4, -2)
(64, 4, 0)
(66, 4, -1)
(72, 2, 1)
(71, 8, 2)
(70, 4, -3)
(71, 4, 1)
