(67, 4, 1)
(67, 8, 1)
(74, 4, 1)
(71, 6, 1)
(69, 2, 1)
(67, 4, 1)
(67, 6, 1)
(69, 2, 1)
(71, 4, 1)
(69, 8, 1)
(71, 4, 1)
(71, 4, 1)
(71, 2, 0)
(74, 4, 1)
(71, 4, 1)
(71, 4, 1)
(71, 2, 1)
(71, 4, 1)
(71, 4, 1)
(74, 4, 1)
(74, 4, 1)
(76, 4, 1)
(71, 2, 1)
(69.0, 4.0, 1.0)
(67, 2, 1)
(72, 4, 0)
(66, 2, 1)
(72, 4, -1)
(71, 4, 4)
(76, 4, 1)
(61, 2, 2)
(69, 4, -1)
(69, 4, -1)
(71, 4, 4)
(71, 2, 2)
(70, 4, -1)
(70, 8, -1)
(70, 8, -1)
(70, 4, -1)
(70, 4, -1)
(70, 4, -1)
(69, 4, -1)
(67, 4, -1)
(67, 4, -1)
(65, 2, -1)
(64, 4, -1)
(60.0, 4.0, -1.0)
(74, 8, -1)
(67, 4, -1)
(69, 4, -1)
