(71, 4, 2)
(69, 4, 2)
(69, 4, 2)
(71, 4, 2)
(73, 4, 2)
(74, 2, 2)
(76, 2, 2)
(78, 4, 2)
(76, 2, 2)
(74, 2, 2)
(75.0, 2.0, -2.0)
(66, 2, 2)
(64, 4, -1)
(61, 2, 2)
(71, 4, 2)
(60.0, 4.0, -1.0)
(71, 4, 1)
(73, 2, 2)
(67, 4, -1)
(68, 8, -3)
(68, 4, -3)
(75, 2, 4)
(69, 4, -2)
(74, 6, -2)
(69, 4, 2)
(75, 4, -2)
(71, 4, 4)
(73.0, 6.0, 2.0)
(79.0, 4.0, 1.0)
(74, 4, 1)
(79.0, 2.0, 2.0)
(72, 4, 4)
(72, 4, 4)
(65, 8, -1)
(74, 8, -1)
(72, 8, -2)
(73.0, 4.0, 1.0)
(66, 2, 4)
(66, 2, 4)
(71, 4, 2)
(78, 4, 2)
(67, 8, -1)
(67.0, 8.0, 4.0)
(71, 4, 4)
(71, 4, 4)
(73, 4, 4)
(69, 4, -2)
(69, 4, -2)
(70, 4, -2)
(70, 4, -2)
