(70.0, 8.0, -3.0)
(70.0, 4.0, -3.0)
(67.0, 4.0, -3.0)
(72.0, 4.0, -3.0)
(70.0, 4.0, -3.0)
(68.0, 4.0, -3.0)
(67.0, 4.0, -3.0)
(65.0, 8.0, -3.0)
(67.0, 2.0, -3.0)
(68.0, 2.0, -3.0)
(72, 4, -3)
(70, 4, -2)
(72, 4, -3)
(70, 4, -2)
(63, 4, -3)
(76, 8, 3)
(66, 6, 2)
(77.0, 4.0, -2.0)
(67, 4, -1)
(72, 4, -2)
(74, 4, -2)
(75.0, 2.0, -2.0)
(72, 4, -2)
(72, 4, -2)
(67, 4, -1)
(72, 2, -2)
(72, 2, -2)
(75, 4, -2)
(70, 4, -2)
(75.0, 2.0, -2.0)
(74, 2, -2)
(75.0, 2.0, -2.0)
(75.0, 2.0, -2.0)
(74, 4, -2)
(69.0, 12.0, 2.0)
(74, 4, -2)
(67, 4, -2)
(74, 2, -2)
(77.0, 4.0, -2.0)
(61, 4, 2)
(70, 2, -2)
(75.0, 2.0, -2.0)
(71, 4, 3)
(70, 4, -2)
(65, 4, -2)
(70, 4, -2)
(70, 2, -2)
(69, 2, -2)
(74, 4, -2)
(72, 4, -2)
