(74.0, 2.0, 3.0)
(73.0, 2.0, 3.0)
(71.0, 4.0, 3.0)
(69.0, 8.0, 3.0)
(76.0, 4.0, 3.0)
(73.0, 4.0, 3.0)
(73.0, 4.0, 3.0)
(71.0, 4.0, 3.0)
(69.0, 4.0, 3.0)
(68.0, 4.0, 3.0)
(69, 4, 3)
(68, 4, 3)
(71, 4, 3)
(69, 4, 0)
(74.0, 2.0, 3.0)
(76, 4, 3)
(76, 4, 3)
(73.0, 2.0, 3.0)
(71, 4, 0)
(73, 4, 3)
(69, 4, 3)
(69, 4, 3)
(69, 4, 3)
(73.0, 2.0, 3.0)
(76, 4, 1)
(73.0, 2.0, 3.0)
(64, 4, 2)
(73.0, 2.0, 3.0)
(74.0, 2.0, 3.0)
(76, 4, 3)
(70, 4, -2)
(76, 4, 3)
(74.0, 8.0, 3.0)
(76, 4, 3)
(74, 4, 3)
(69, 8, 2)
(69, 4, 0)
(73, 4, 3)
(73, 4, 3)
(76, 4, -2)
(67.0, 12.0, -2.0)
(73.0, 6.0, 3.0)
(67, 4, -1)
(69, 4, 3)
(72, 4, 0)
(72, 4, 0)
(64, 4, -1)
(65, 4, -1)
(73, 4, 3)
(71, 4, 2)
