(76, 4, -1)
(77, 4, -1)
(76, 4, -1)
(74, 8, -1)
(72, 4, -1)
(69, 4, -1)
(70, 4, -1)
(69, 4, -1)
(67, 4, -1)
(67, 4, -1)
(78, 4, 2)
(65, 12, -1)
(73.0, 2.0, 3.0)
(69, 4, 3)
(65, 4, -2)
(67, 8, -1)
(70, 4, -2)
(75.0, 1.0, -2.0)
(65, 4, -2)
(67, 4, 0)
(69, 4, 0)
(74, 4, 0)
(74, 4, 0)
(72, 4, 0)
(69, 4, 0)
(70, 4, -2)
(67, 4, 0)
(72, 4, 0)
(69, 8, 0)
(72, 4, 0)
(74, 4, 0)
(74, 4, 0)
(71, 4, 0)
(72, 4, 0)
(72, 2, 0)
(69, 8, 0)
(69, 8, 0)
(65.0, 2.0, 0.0)
(71, 8, 0)
(71, 4, 0)
(69, 4, 0)
(69, 4, 0)
(67, 4, 0)
(69, 4, 3)
(69, 4, 3)
(71, 2, 0)
(69, 2, 0)
(72, 4, 0)
(77, 4, 0)
(72, 4, 0)
