(72.0, 8.0, 0.0)
(62, 4, -1)
(62, 4, -1)
(62, 4, -1)
(69, 8, -1)
(69, 4, -1)
(70, 8, -1)
(70, 4, -1)
(69, 12, -1)
(65, 4, -1)
(67, 4, -1)
(69, 4, -1)
(69, 4, -1)
(69, 4, -1)
(64, 4, -1)
(64, 4, -1)
(65, 4, -1)
(67, 4, -2)
(72, 4, 0)
(69, 4, -1)
(66, 4, -1)
(69, 4, -1)
(71, 4, 0)
(69, 4, -1)
(69, 4, -1)
(69, 4, -1)
(70, 4, -1)
(69, 4, -1)
(72.0, 8.0, 1.0)
(74, 2, -2)
(72.0, 8.0, 0.0)
(75.0, 2.0, -2.0)
(73, 4, 3)
(72, 4, 0)
(71, 8, 3)
(70, 2, -2)
(68, 2, 3)
(70, 4, -2)
(74, 4, 2)
(74, 4, -2)
(69, 4, 2)
(74, 4, 2)
(73.0, 8.0, 2.0)
(68, 4, -3)
(74, 4, -2)
(75, 8, -2)
(73, 4, 2)
(69.0, 4.0, 1.0)
(67, 4, -2)
(67, 4, -2)
