(77, 4, -2)
(75, 4, -2)
(74, 2, -2)
(72.0, 2.0, -2.0)
(70.0, 2.0, -2.0)
(72.0, 2.0, -2.0)
(74.0, 2.0, -2.0)
(72.0, 2.0, -2.0)
(72.0, 4.0, -2.0)
(74.0, 4.0, -2.0)
(74, 4, -2)
(74, 4, -2)
(74, 4, -2)
(72, 4, -2)
(70, 4, -2)
(69, 2, -2)
(69.0, 1.0, -2.0)
(74, 6, -2)
(69.0, 8.0, -2.0)
(65, 4, -1)
(70, 4, -2)
(70, 4, -2)
(70, 4, -2)
(67.0, 8.0, -3.0)
(69, 8, 0)
(70, 4, -3)
(65, 4, -2)
(72, 4, -1)
(69, 4, 3)
(75.0, 2.0, -2.0)
(74, 2, -2)
(67, 2, -3)
(73, 4, -4)
(77, 4, -1)
(65, 4, -2)
(73, 4, -1)
(74, 4, -2)
(70, 2, -1)
(71, 4, 2)
(70, 4, -2)
(70, 4, -2)
(67, 2, -2)
(64, 2, 0)
(76.0, 2.0, 0.0)
(74, 2, -1)
(74, 2, -1)
(72, 4, -2)
(72, 4, -2)
(72, 4, -2)
(70, 4, -2)
