(69, 12, 0)
(69, 4, 0)
(69, 4, 0)
(69, 4, 0)
(71, 6, 0)
(69, 2, 0)
(71, 4, 0)
(67, 4, 0)
(67, 4, 0)
(66, 4, 0)
(60, 4, -2)
(72, 4, 0)
(73.0, 2.0, 3.0)
(71, 2, 1)
(70, 8, -2)
(69.0, 1.0, 0.0)
(67, 4, 1)
(72, 4, 0)
(71, 2, 3)
(65, 4, -4)
(68, 4, 0)
(74, 4, 1)
(69.0, 8.0, -2.0)
(72, 4, -1)
(64.0, 8.0, 3.0)
(64, 4, 0)
(72.0, 8.0, 0.0)
(65, 8, 0)
(72, 4, 0)
(68, 4, 0)
(74, 4, 0)
(77.0, 2.0, 0.0)
(70, 4, -4)
(62.0, 8.0, 4.0)
(72.0, 8.0, 0.0)
(68, 4, 3)
(71, 8, 0)
(62.0, 4.0, 0.0)
(65.0, 2.0, 0.0)
(69, 4, 0)
(64, 4, 0)
(74.0, 4.0, -4.0)
(65, 4, 0)
(74, 4, 0)
(69, 2, 0)
(74, 4, 3)
(65.0, 2.0, 0.0)
(79.0, 4.0, -3.0)
(67, 4, 0)
(73, 4, 4)
