(69.0, 8.0, 3.0)
(69.0, 4.0, 3.0)
(71.0, 8.0, 3.0)
(71.0, 4.0, 3.0)
(73.0, 6.0, 3.0)
(71.0, 2.0, 3.0)
(73.0, 4.0, 3.0)
(69.0, 8.0, 3.0)
(69.0, 4.0, 3.0)
(74.0, 8.0, 3.0)
(74, 4, 3)
(73, 4, 3)
(73, 4, 3)
(73, 4, 3)
(71, 4, 3)
(71, 2, 3)
(73, 4, 3)
(71, 4, 3)
(73.0, 6.0, 3.0)
(67, 6, -4)
(71, 4, 3)
(73, 4, 3)
(71, 2, 3)
(71, 8, 2)
(72, 4, -1)
(72, 4, -1)
(67, 4, -1)
(69, 4, -1)
(69, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(67, 4, -1)
(69, 4, -1)
(67, 4, -1)
(69, 4, -1)
(72, 4, -1)
(70, 2, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
