(71, 4, 1)
(72, 4, 1)
(71, 4, 1)
(69, 4, 1)
(76, 4, 1)
(76, 2, 1)
(74, 2, 1)
(72, 4, 1)
(71, 4, 1)
(74, 4, 1)
(79.0, 4.0, 1.0)
(71.0, 4.0, -1.0)
(71, 2, 1)
(72, 2, 1)
(74, 4, 1)
(67, 4, 1)
(69, 8, -1)
(64, 4, 3)
(69, 4, -1)
(72, 4, 0)
(76, 2, -1)
(74, 4, -3)
(75, 4, -2)
(76, 8, 3)
(72, 2, 0)
(72.0, 8.0, 0.0)
(69, 4, 3)
(71, 2, 2)
(69.0, 12.0, 3.0)
(70, 4, -1)
(72, 4, 1)
(76, 2, 2)
(74, 4, -3)
(72, 4, -1)
(69, 4, 0)
(65, 8, -1)
(65, 2, -1)
(67.0, 8.0, 0.0)
(76, 4, 2)
(71, 4, 3)
(69, 8, 1)
(77.0, 2.0, 0.0)
(73, 4, -4)
(69, 8, -1)
(74.0, 8.0, 0.0)
(71, 4, 0)
(74, 2, 2)
(74.0, 8.0, 3.0)
(72, 4, 0)
(67, 12, -1)
