(71.0, 2.0, 0.0)
(74.0, 4.0, 0.0)
(72.0, 4.0, 0.0)
(71.0, 2.0, 0.0)
(69.0, 2.0, 0.0)
(69.0, 8.0, 0.0)
(71, 4, 1)
(72, 4, 1)
(74, 4, 1)
(74, 4, 1)
(69.0, 4.0, 1.0)
(67, 4, 1)
(72, 4, 1)
(71, 8, 1)
(77, 4, 1)
(69.0, 4.0, 1.0)
(67, 4, 1)
(69.0, 4.0, 1.0)
(64.0, 4.0, 1.0)
(69, 8, 1)
(67, 4, -2)
(66, 4, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
(64, 8, 1)
(69, 8, -1)
(74, 4, 1)
(67, 2, 1)
(64, 4, -1)
(71, 4, 1)
(71, 4, 1)
(66, 4, 1)
(69.0, 6.0, -2.0)
(68, 2, 2)
(63.0, 8.0, 1.0)
(60.0, 4.0, 1.0)
(74, 4, 1)
(72, 4, 1)
(74, 4, 1)
(76, 4, 1)
(69.0, 4.0, 1.0)
(74, 4, 1)
(63.0, 8.0, 1.0)
(69, 6, 1)
(72, 2, 1)
(69, 8, 1)
(69.0, 4.0, 1.0)
(69, 8, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
