(66, 4, -2)
(66, 4, -2)
(66, 4, -2)
(66, 4, -2)
(67, 4, -2)
(64, 4, -2)
(66, 4, -2)
(66, 4, -2)
(67, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(69, 4, -2)
(67, 4, -2)
(69, 4, -2)
(67.0, 12.0, -2.0)
(67.0, 12.0, -2.0)
(69, 4, -2)
(71, 4, 3)
(74, 4, 1)
(74, 4, 1)
(75, 4, 3)
(72, 4, 1)
(74, 4, 1)
(72, 4, 1)
(77.0, 4.0, -2.0)
(71, 2, 1)
(69, 2, 1)
(71, 8, 1)
(69.0, 4.0, 1.0)
(76, 4, 1)
(76, 4, 1)
(76, 4, 1)
(76, 4, 1)
(71, 4, 1)
(72, 2, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(73.0, 4.0, 1.0)
