(67, 4, -3)
(68, 8, -3)
(67.0, 8.0, -3.0)
(67.0, 4.0, -3.0)
(68.0, 4.0, -3.0)
(70.0, 4.0, -3.0)
(68.0, 4.0, -3.0)
(67.0, 4.0, -3.0)
(65.0, 4.0, -3.0)
(67.0, 8.0, -3.0)
(65, 4, -3)
(65, 4, -3)
(69.0, 2.0, -3.0)
(69.0, 2.0, -3.0)
(69.0, 2.0, -3.0)
(69.0, 4.0, -3.0)
(69.0, 4.0, -3.0)
(72, 4, -3)
(72, 4, -3)
(67, 4, -3)
(72, 4, -2)
(72, 4, -1)
(72, 4, -1)
(72, 4, -1)
(65, 12, -1)
(78, 4, 2)
(67, 4, -1)
(72, 4, -1)
(72, 4, -1)
(77, 4, -1)
(77, 4, -1)
(70, 2, -1)
(70, 2, -1)
(72, 4, -1)
(67, 4, -1)
(67, 4, -1)
(67, 4, -1)
(72, 4, -1)
(72, 4, -1)
(66, 4, -2)
(66, 4, -2)
(67, 2, -1)
(67, 2, -1)
(64, 4, -1)
(67, 6, -1)
(67, 4, -1)
(65, 4, -1)
(67, 4, -1)
(69, 4, -1)
(69, 4, -1)
