(72.0, 4.0, -4.0)
(72.0, 4.0, -4.0)
(72.0, 4.0, -4.0)
(73.0, 4.0, -4.0)
(72.0, 4.0, -4.0)
(70.0, 6.0, -4.0)
(68.0, 2.0, -4.0)
(68.0, 4.0, -4.0)
(68.0, 4.0, -4.0)
(68.0, 4.0, -4.0)
(68, 4, -4)
(70, 4, -4)
(70, 4, -4)
(70, 4, -4)
(70, 4, -4)
(70, 4, -4)
(75.0, 4.0, -4.0)
(78.0, 4.0, 1.0)
(77.0, 4.0, -4.0)
(68, 4, -3)
(76.0, 4.0, -4.0)
(73, 4, -4)
(76.0, 4.0, -4.0)
(76.0, 4.0, -4.0)
(76, 2, 2)
(67, 4, 1)
(69.0, 4.0, 1.0)
(69, 2, 1)
(68, 4, 0)
(67, 12, -1)
(67, 4, 0)
(69.0, 4.0, 1.0)
(67, 4, -1)
(67, 4, -2)
(62, 2, 2)
(67, 4, 1)
(67, 4, 0)
(67.0, 4.0, 2.0)
(69, 8, 0)
(69, 8, 0)
(67, 4, 0)
(69, 4, 0)
(72, 4, 0)
(73, 8, -1)
(76, 4, 0)
(69, 2, 0)
(71, 2, 0)
(69, 2, 0)
(67, 4, -2)
(71, 2, 0)
