(72, 4, 1)
(72, 4, 1)
(72, 4, 1)
(71, 2, 1)
(69, 2, 1)
(68.0, 4.0, 1.0)
(72.0, 8.0, 1.0)
(72.0, 8.0, 1.0)
(69.0, 4.0, 1.0)
(76, 4, 1)
(76, 4, 1)
(76, 4, 1)
(74, 4, 1)
(74, 4, 1)
(76, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(74, 4, 1)
(69.0, 4.0, 1.0)
(67, 4, 1)
(69.0, 4.0, 1.0)
(67, 4, 1)
(66.0, 8.0, 1.0)
(67, 4, 1)
(67, 4, 1)
(66, 6, 1)
(67, 4, 1)
(66, 4, 1)
(69.0, 4.0, 1.0)
(72, 4, 1)
(72, 4, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
(71, 4, 1)
(71, 4, 1)
(78, 2, 2)
(71, 2, 1)
(71, 4, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
(71, 2, 1)
(71, 4, 1)
(69, 8, 1)
(69.0, 4.0, 1.0)
(71, 4, 1)
(76, 4, 1)
(74, 6, 1)
(69.0, 4.0, 1.0)
(71, 4, 1)
